instruction,input,output
What is the main point about CHANCERY?,,"CHANCERY - MORNING 12 PROTESTORS come running, turning the corner to reach the building."
What is the main point about bats?,,They use bats and crowbars to smash the windows of the building.
Who or what is INT?,,13 INT.
What is the main point about INT?,,13 INT.
Who or what is INT?,,CONSULATE OFFICE - MORNING 13 BOB ANDERS (on the phone) Can we get some fucking police please? 14 INT.
What is the main point about CONSULATE?,,CONSULATE OFFICE - MORNING 13 BOB ANDERS (on the phone) Can we get some fucking police please? 14 INT.
When did the events related to ONE - MORNING occur?,,"MARINE POST ONE - MORNING 14 One by one, the security monitors are going black -- or smashed."
What is the main point about MARINE?,,"MARINE POST ONE - MORNING 14 One by one, the security monitors are going black -- or smashed."
What is the main point about Marines?,,The Marines stare.
Who or what is EXT?,,15 EXT.
What is the main point about EXT?,,15 EXT.
What is the main point about TALEGHANI?,,TALEGHANI AVE.
Who or what is CAPTAIN?,,"- MORNING 15 An IRANIAN POLICE CAPTAIN smokes a cigarette, watching the mayhem, impassive."
What is the main point about MORNING?,,"- MORNING 15 An IRANIAN POLICE CAPTAIN smokes a cigarette, watching the mayhem, impassive."
Who or what is INT?,,16 INT.
What is the main point about INT?,,16 INT.
When did the events related to ONE - MORNING 16 occur?,,"MARINE POST ONE - MORNING 16 MARINES are putting on armor, gas masks, riot gear."
Who or what is MARINES?,,"MARINE POST ONE - MORNING 16 MARINES are putting on armor, gas masks, riot gear."
What is the main point about MARINE?,,"MARINE POST ONE - MORNING 16 MARINES are putting on armor, gas masks, riot gear."
Who or what is AL GOLACINSKI?,,AL GOLACINSKI gs down the line reminding them of protocol.
What is the main point about AL?,,AL GOLACINSKI gs down the line reminding them of protocol.
Who or what is AL GOLACINSKI?,,AL GOLACINSKI Don't shoot.
What is the main point about AL?,,AL GOLACINSKI Don't shoot.
When did the events related to an hour occur?,,You don't want to be the sonofabitch who started a war - - CUT TO: AL GOLACINSKI They need an hour to burn the classified -- Hold.
What is the main point about sonofabitch?,,You don't want to be the sonofabitch who started a war - - CUT TO: AL GOLACINSKI They need an hour to burn the classified -- Hold.
What is the main point about beat?,,"(beat, stern) You shoot one person, they'll kill every one of us in here."
Who or what is EXT?,,17 EXT.
What is the main point about EXT?,,17 EXT.
What is the main point about CONSULATE?,,"CONSULATE - MORNING 17 PROTESTORS, now on the embassy grounds, carry banners."
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 5. 17 CONTINUED: 17 PROTESTORS La ilaha ilallah -- A WOMAN IN A CHADOR uses her own radio.
What is the main point about building?,,"Some of them ring around the building, holding hands and chanting."
What is the main point about WEAPONS?,,Some carry AUTOMATIC WEAPONS openly.
Who or what is INT?,,18 INT.
What is the main point about INT?,,18 INT.
When did the events related to ONE - MORNING occur?,,"MARINE POST ONE - MORNING 18 AL GOLACINSKI (INTO WALKIE) Tear gas as last resort ONLY -- I repeat, only if your life is under"
Who or what is AL GOLACINSKI?,,"MARINE POST ONE - MORNING 18 AL GOLACINSKI (INTO WALKIE) Tear gas as last resort ONLY -- I repeat, only if your life is under threat! 19 INT."
Who or what is INT?,,"MARINE POST ONE - MORNING 18 AL GOLACINSKI (INTO WALKIE) Tear gas as last resort ONLY -- I repeat, only if your life is under threat! 19 INT."
What is the main point about MARINE?,,"MARINE POST ONE - MORNING 18 AL GOLACINSKI (INTO WALKIE) Tear gas as last resort ONLY -- I repeat, only if your life is under threat! 19 INT."
Who or what is Gallegos?,,"HALLWAY - MORNING 19 Gallegos and Sickmann hear Golacinski's admonition, but PUMP TEAR GAS out a window onto protestors below despite"
Who or what is Sickmann?,,"HALLWAY - MORNING 19 Gallegos and Sickmann hear Golacinski's admonition, but PUMP TEAR GAS out a window onto protestors below despite it."
Who or what is Golacinski?,,"HALLWAY - MORNING 19 Gallegos and Sickmann hear Golacinski's admonition, but PUMP TEAR GAS out a window onto protestors below despite it."
Who or what is PUMP?,,"HALLWAY - MORNING 19 Gallegos and Sickmann hear Golacinski's admonition, but PUMP TEAR GAS out a window onto protestors below despite it."
What is the main point about HALLWAY?,,"HALLWAY - MORNING 19 Gallegos and Sickmann hear Golacinski's admonition, but PUMP TEAR GAS out a window onto protestors below despite it."
What is the main point about cannister?,,One cannister after another.
Who or what is INT?,,20 INT.
What is the main point about INT?,,20 INT.
Who or what is LEE SCHATZ?,,"CONSULATE OFFICE - MORNING 20 Now the five in the consulate are joined by LEE SCHATZ, 32, an agricultural attache."
When did the events related to 32 occur?,,"CONSULATE OFFICE - MORNING 20 Now the five in the consulate are joined by LEE SCHATZ, 32, an agricultural attache."
What is the main point about CONSULATE?,,"CONSULATE OFFICE - MORNING 20 Now the five in the consulate are joined by LEE SCHATZ, 32, an agricultural attache."
What is the main point about J?,,J STAFFORD -- We're not going out in this -- MARK LIJEK (INTERRUPTING) We are in the only building with an exit direct to the street.
What is the main point about SOUNDS?,,We need to GO -- The SOUNDS OF MARINES barking at one another over the radio.
When did the events related to 21 22 occur?,,21 OMITTED 21 22 INT.
Who or what is INT?,,21 OMITTED 21 22 INT.
What is the main point about INT?,,21 OMITTED 21 22 INT.
What is the main point about HALLWAY?,,HALLWAY - MORNING 22 They look out a small WINDOW to see a MOB outside.
Who or what is AL GOLACINSKI?,,AL GOLACINSKI I'm going outside.
What is the main point about AL?,,AL GOLACINSKI I'm going outside.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 6.
Who or what is AL GOLACINSKI?,,22 CONTINUED: 22 GALLEGOS Why? AL GOLACINSKI To reason with them.
What is the main point about CONTINUED?,,22 CONTINUED: 22 GALLEGOS Why? AL GOLACINSKI To reason with them.
Who or what is Chancery?,,"Marines open the Chancery door, with a look -- 23 INT."
Who or what is INT?,,"Marines open the Chancery door, with a look -- 23 INT."
What is the main point about Marines?,,"Marines open the Chancery door, with a look -- 23 INT."
Who or what is CHANCERY OFFICE - MORNING?,,"CHANCERY OFFICE - MORNING 23 FRED KUPKE, 34, communications officer, is shouting at staffers who pile up documents for the shredders"
Who or what is FRED KUPKE?,,"CHANCERY OFFICE - MORNING 23 FRED KUPKE, 34, communications officer, is shouting at staffers who pile up documents for the shredders -- KUPKE"
When did the events related to 34 occur?,,"CHANCERY OFFICE - MORNING 23 FRED KUPKE, 34, communications officer, is shouting at staffers who pile up documents for the shredders -- KUPKE Just"
What is the main point about CHANCERY?,,"CHANCERY OFFICE - MORNING 23 FRED KUPKE, 34, communications officer, is shouting at staffers who pile up documents for the shredders -- KUPKE Just everything."
Who or what is NONE?,,"Don't sort it -- ANN SWIFT (on the phone) -- NONE, there are no police -- ZERO -- 24 EXT."
Who or what is ZERO?,,"Don't sort it -- ANN SWIFT (on the phone) -- NONE, there are no police -- ZERO -- 24 EXT."
Who or what is EXT?,,"Don't sort it -- ANN SWIFT (on the phone) -- NONE, there are no police -- ZERO -- 24 EXT."
What is the main point about ANN?,,"Don't sort it -- ANN SWIFT (on the phone) -- NONE, there are no police -- ZERO -- 24 EXT."
Who or what is Al Golacinski?,,"CHANCERY - MORNING 24 Al Golacinski steps out onto the steps and immediately there is shouting, and a protestor puts a GUN to his head --"
What is the main point about CHANCERY?,,"CHANCERY - MORNING 24 Al Golacinski steps out onto the steps and immediately there is shouting, and a protestor puts a GUN to his head -- blindfolds him -- PUSHING AL'S head to the ground..."
Who or what is INT?,,25 INT.
What is the main point about INT?,,25 INT.
Who or what is STAFFORD?,,"-- Second floor -- anyone who can hear this -- we need help -- As we MOVE DOWN the line of desks, J STAFFORD is also on a radio repeating the same in FARSI -- Others PACK things."
What is the main point about CONSULATE?,,"CONSULATE OFFICE - MORNING 25 CORA LIJEK -- Second floor -- anyone who can hear this -- we need help -- As we MOVE DOWN the line of desks, J STAFFORD is also on a radio repeating the same in FARSI -- Others PACK things."
Who or what is INT?,,26 INT.
What is the main point about INT?,,26 INT.
Who or what is MARINES?,,"THE HALLWAY - INTO THE VAULT - MORNING 26 MARINES and STAFFERS -- including TOM AHERN -- RUN down the hall, pushing a cart of items to secure."
Who or what is TOM AHERN?,,"THE HALLWAY - INTO THE VAULT - MORNING 26 MARINES and STAFFERS -- including TOM AHERN -- RUN down the hall, pushing a cart of items to secure."
What is the main point about HALLWAY?,,"THE HALLWAY - INTO THE VAULT - MORNING 26 MARINES and STAFFERS -- including TOM AHERN -- RUN down the hall, pushing a cart of items to secure."
Who or what is INCINERATOR?,,"They reach the security locker -- code the door -- and enter the locker, heading to the INCINERATOR to begin destroying classified material -- 27 EXT."
Who or what is EXT?,,"door -- and enter the locker, heading to the INCINERATOR to begin destroying classified material -- 27 EXT."
What is the main point about security?,,"They reach the security locker -- code the door -- and enter the locker, heading to the INCINERATOR to begin destroying classified material -- 27 EXT."
Who or what is DOOR?,,CHANCERY - MORNING 27 Golacinski HELD UP TO THE DOOR -- GUN TO HIS HEAD.
What is the main point about CHANCERY?,,CHANCERY - MORNING 27 Golacinski HELD UP TO THE DOOR -- GUN TO HIS HEAD.
Who or what is Jesus Christ?,,(CONTINUED) ARGO - Final 7. 27 CONTINUED: 27 AL GOLACINSKI Let me in! Jesus Christ! Open the fucking door! The Marines OPEN THE CHANCERY DOOR -- PROTESTERS POUR IN.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 7. 27 CONTINUED: 27 AL GOLACINSKI Let me in! Jesus Christ! Open the fucking door! The Marines OPEN THE CHANCERY DOOR -- PROTESTERS POUR IN.
Who or what is INT?,,27A INT.
What is the main point about 27A?,,27A INT.
Who or what is CHANCERY OFFICE - MORNING?,,CHANCERY OFFICE - MORNING 27A ANN SWIFT -- Washington on flash -- Get Ops -- get a line -- We hear -- The POUNDING of footsteps
Who or what is Washington?,,CHANCERY OFFICE - MORNING 27A ANN SWIFT -- Washington on flash -- Get Ops -- get a line -- We hear -- The POUNDING of footsteps on the roof.
What is the main point about CHANCERY?,,CHANCERY OFFICE - MORNING 27A ANN SWIFT -- Washington on flash -- Get Ops -- get a line -- We hear -- The POUNDING of footsteps on the roof.
Who or what is EXT?,,28 EXT.
What is the main point about EXT?,,28 EXT.
What is the main point about CONSULATE?,,CONSULATE ROOF - MORNING 28 Protestors RUNNING on the roof of the consulate building.
Who or what is RIP?,,Several stop to try and RIP off a vent cover using CLUBS and PIPES.
Who or what is CLUBS?,,Several stop to try and RIP off a vent cover using CLUBS and PIPES.
Who or what is PIPES?,,Several stop to try and RIP off a vent cover using CLUBS and PIPES.
What is the main point about stop?,,Several stop to try and RIP off a vent cover using CLUBS and PIPES.
Who or what is EXT?,,29 EXT.
What is the main point about EXT?,,29 EXT.
What is the main point about EMBASSY?,,EMBASSY GROUNDS - MORNING 29 THOUSANDS are now on the grounds of the embassy and they continue to swarm through the gates.
What is the main point about student?,,The student with the SUPER 8 continues to film it all.
What is the main point about NEWS?,,"Also filming, a NEWS PHOTOGRAPHER with a 16 mm camera."
What is the main point about Smoking?,,"Smoking cannisters of TEAR GAS, people hurling them."
Who or what is INT?,,A protestor lights a paper on fire to ward off the sting of the gas -- 30 INT.
What is the main point about protestor?,,A protestor lights a paper on fire to ward off the sting of the gas -- 30 INT.
Who or what is CHANCERY OFFICE - MORNING 30?,,CHANCERY OFFICE - MORNING 30 STAFFERS using pieces of machines to destroy other machines -- any embassy equipment that might function
What is the main point about CHANCERY?,,CHANCERY OFFICE - MORNING 30 STAFFERS using pieces of machines to destroy other machines -- any embassy equipment that might function -- Then... screams.
What is the main point about lights?,,The lights have gone out.
What is the main point about power?,,The power has been cut.
Who or what is AHERN?,,"31 IN THE VAULT - MORNING 31 AHERN destroys the cryptography keys -- box-sized hard drives -- while BILL DAUGHERTY, 33, tosses stacks of"
Who or what is BILL DAUGHERTY?,,"31 IN THE VAULT - MORNING 31 AHERN destroys the cryptography keys -- box-sized hard drives -- while BILL DAUGHERTY, 33, tosses stacks of papers into an electrical furnace."
